lemma	domains	subdomains	definitions
παραδιδωμι	'[''Possess, Transfer, Exchange'', ''Control, Rule'', ''Communication'', ''Be, Become, Exist, Happen'', ''Control, Rule'', ''Danger, Risk, Safe, Save'', ''Physiological Processes and States'']'	'[''Give'', ''Hand Over, Betray'', ''Teach'', ''Happen'', ''Control, Restrain'', ''Expose Oneself to Danger'', ''Live, Die'']'	'[''to hand over to or to convey something to someone, particularly a right or an authority'', ''to deliver a person into the control of someone else, involving either the handing over of a presumably guilty person for punishment by authorities or the handing over of an individual to an enemy who will presumably take undue advantage of the victim'', ''to pass on traditional instruction, often implying over a long period of time'', ''to grant someone the opportunity or occasion to do something'', ''(an idiom, literally: to give into the hands) to hand someone over into the control of others'', ''(an idiom, literally: to hand over life) to expose oneself willingly to a danger or risk'', ''(an idiom, literally: to give over the spirit) to die, with the possible implication of a willing or voluntary act'']'
παραζηλοω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Envy, Jealousy'']'	'[''to cause someone to feel strong jealousy or resentment against someone'']'
παρακαλεω	'[''Communication'', ''Communication'', ''Communication'', ''Attitudes and Emotions'']'	'[''Ask For, Request'', ''Invite'', ''Call'', ''Encouragement, Consolation'']'	'[''to ask for something earnestly and with propriety'', ''to ask a person to accept offered hospitality{N:001}'', ''to call to come to where the speaker is'', ''to cause someone to be encouraged or consoled, either by verbal or non-verbal means{N:002}'']'
παρακλησις	'[''Attitudes and Emotions'', ''Communication'']'	'[''Encouragement, Consolation'', ''Ask For, Request'']'	'[''to cause someone to be encouraged or consoled, either by verbal or non-verbal means{N:001}'', ''to ask for something earnestly and with propriety'']'
παραλαλέω	'[''Communication'']'	'[''Speak Truth, Speak Falsehood'']'	to misspeak or speak incorrectly
παρανομεω	'[''Guide, Discipline, Follow'']'	'[''Obey, Disobey'']'	'[''to act contrary to established custom or law, with the implication of intent'']'
παρανομια	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Act Lawlessly'']'	'[''behavior which is contrary to law'']'
παράνομος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'']'	one who acts against the law or justice
παραπικραινω	'[''Hostility, Strife'']'	'[''Rebellion'']'	'[''to rebel, with the implication of provoking to anger'']'
παραπικρασμος	'[''Hostility, Strife'']'	'[''Rebellion'']'	'[''to rebel, with the implication of provoking to anger'']'
παραπορευομαι	'[''Linear Movement'']'	'[''Pass, Cross Over, Go Through, Go Around'']'	'[''to move past a reference point{N:001}'']'
παραπτωμα	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'']'	'[''what a person has done in transgressing the will and law of God by some false step or failure{N:001}'']'
παραρίπτω	'[''Physical Events and States'']'	'[''Throw, Hurl'']'	to hurl or discard something away
παρασιωπάω	'[''Communication'']'	'[''Keep Silent'']'	to remain quiet or say nothing
παρασυμβάλλομαι	'[''Relations'']'	'[''Gather, Cause To Come Together'']'	to come together with someone; to meet
παράταξις	'[''To Fight'', ''Strife, Struggle'']'	'[''Army'']'	a military lineup or formation for combat
παρατάσσω	'[''To Fight'', ''Strife, Struggle'']'	'[''Army'', ''Soldiers, Officers'']'	to draw up troops in formation for battle
παρατεινω	'[''Time'', ''Aspect'']'	'[''Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From'', ''Continue'']'	'[''to extend a period of time'', ''to cause an event to continue beyond an expected period of time'']'
παρατηρεω	'[''Sensory Events and States'', ''Behavior and Related States'']'	'[''See'', ''Custom, Tradition'']'	'[''to watch closely or diligently'', ''to keep or maintain a tradition or custom'']'
παρατιθημι	'[''Possess, Transfer, Exchange'', ''Communication'', ''Help, Care For'', ''True, False'']'	'[''Give'', ''Discourse Types'', ''Entrust To the Care Of'', ''True, False'']'	'[''to give or to provide for, with the implication of placing something in front of a person, normally food'', ''an idiom, literally: to place alongside a parable{N:001}'', ''to entrust oneself to the care of someone'', ''to establish evidence to show that something is true'']'
παραυτικα	'[''Time'']'	'[''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''pertaining to a relatively short period of time, with emphasis upon the temporary nature of the event or state'']'
παραφυάς	'[''Plants'']'	'[''Non-Fruit Parts of Plants'', ''Grow, Growth'']'	a shoot or growth extending from a main plant
παραχρημα	'[''Time'']'	'[''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''pertaining to an extremely short period of time between a previous state or event and a subsequent state or event'']'
παρειμι	'[''Existence in Space'', ''Linear Movement'', ''Possess, Transfer, Exchange'', ''Time'']'	'[''Be in a Place'', ''Come, Come To, Arrive'', ''Have, Possess, Property, Owner'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'']'	'[''to be present at a particular time and place{N:001}'', ''to come to be present at a particular place'', ''(derivative of {L:πάρειμι<SDBG:πάρειμι:000000>}[a], ‘to be present,’ {D:85.23}) what one has on hand as available for use'', ''a specific time corresponding to some other time'']'
παρεμβαλλω	'[''Existence in Space'']'	'[''Put, Place'']'	'[''to place something around an object or area'']'
παρεμβολη	'[''Geographical Objects and Features'', ''Constructions'']'	'[''Population Centers'', ''Buildings'']'	'[''a temporary population center consisting of an encampment{N:001}'', ''a camp or barracks for soldiers{N:002}'']'
παρενοχλεω	'[''Trouble, Hardship, Relief, Favorable Circumstances'']'	'[''Cause Trouble, Hardship'']'	'[''to cause extra difficulty and hardship by continual annoyance'']'
παρεπιδημος	'[''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Socio-Political'']'	'[''(derivative of {L:ἐπιδημέω<SDBG:ἐπιδημέω:000000>} ‘to live as a foreigner,’ {D:85.78}) a person who for a period of time lives in a place which is not his normal residence'']'
παρερχομαι	'[''Linear Movement'', ''Linear Movement'', ''Guide, Discipline, Follow'', ''Be, Become, Exist, Happen'', ''Time'']'	'[''Pass, Cross Over, Go Through, Go Around'', ''Come, Come To, Arrive'', ''Obey, Disobey'', ''Exist'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''to move past a reference point{N:001}'', ''to come to be present at a particular place'', ''to act contrary to established custom or law, with the implication of intent'', ''to go out of existence'', ''to mark the passage of time, with focus upon completion'']'
παρεχω	'[''Be, Become, Exist, Happen'', ''Be, Become, Exist, Happen'', ''Case'']'	'[''State'', ''Happen'', ''To Cause To Experience'']'	'[''to maintain a state or condition'', ''to cause something to happen to someone'', ''to cause someone to experience something, with the possible implication of a duration'']'
παρθενος	'[''People'', ''People'', ''Association'']'	'[''Females'', ''Males'', ''Marriage, Divorce'']'	'[''a female person beyond puberty but not yet married and a virgin (though in some contexts virginity is not a focal component of meaning)'', ''an adult male who has not engaged in sexual relations with a woman'', ''a person who has not as yet married (and possibly implying virginity)'']'
παριστημι	'[''Existence in Space'', ''Be, Become, Exist, Happen'', ''Be, Become, Exist, Happen'', ''Possess, Transfer, Exchange'', ''Control, Rule'', ''True, False'', ''Stances and Events Related to Stances'', ''Existence in Space'', ''Existence in Space'', ''Time'', ''Linear Movement'', ''Help, Care For'']'	'[''Be in a Place'', ''State'', ''Exist'', ''Give'', ''Hand Over, Betray'', ''True, False'', ''Stand'', ''Be in a Place'', ''Be in a Place'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Come, Come To, Arrive'', ''Help'']'	'[''to cause to be in a place'', ''to cause something to be or to serve as'', ''to cause to come into existence'', ''to make something available to someone without necessarily involving actual change of ownership'', ''to deliver a person into the control of someone else, involving either the handing over of a presumably guilty person for punishment by authorities or the handing over of an individual to an enemy who will presumably take undue advantage of the victim'', ''to establish evidence to show that something is true'', ''to stand near or alongside of someone, either with friendly or hostile intent'', ''to be in proximity to something'', ''to be in front of something, presumably facing it'', ''to occur at a particular or expected time'', ''to come to be present at a particular place'', ''to assist in supplying what may be needed{N:003}'']'
παροικεω	'[''Existence in Space'', ''Existence in Space'']'	'[''Dwell, Reside'', ''Dwell, Reside'']'	'[''to live or dwell temporari ly in a place as a stranger'', ''to dwell more or less permanently in a place which is not one’s own country'']'
παροίκησις	'[''Relations'']'	'[''Dwell, Reside'', ''Travel, Journey'']'	a period or place of sojourning
παροικια	'[''Existence in Space'']'	'[''Dwell, Reside'']'	'[''(derivative of {L:παροικέω<SDBG:παροικέω:000001>}[b] ‘to sojourn,’ {D:85.78}) the time or occasion of one’s living in a place as a foreigner'']'
παροικος	'[''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Socio-Political'']'	'[''(derivative of {L:παροικέω<SDBG:παροικέω:000001>}[b] ‘to live as a foreigner,’ {D:85.78}) a person who for a period of time lives in a place which is not his normal residence'']'
παροξυνω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Anger, Be Indignant With'']'	'[''to be provoked or upset at someone or something involving severe emotional concern'']'
παροργιζω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Anger, Be Indignant With'']'	'[''(derivative of {L:παροργισμός<SDBG:παροργισμός:000000>} ‘anger,’ {D:88.176}) to cause someone to become provoked or quite angry'']'
παρρησιαζομαι	'[''Communication'', ''Attitudes and Emotions'']'	'[''Speak, Talk'', ''Courage, Boldness'']'	'[''(derivative of {L:παρρησία<SDBG:παρρησία:000000>} ‘boldness,’ {D:25.158}) to speak openly about something and with complete confidence'', ''to have courage or boldness in the face of danger or opposition'']'
πας	'[''Quantity'', ''Quantity'', ''Degree'', ''Whole, Unite, Part, Divide'', ''Nature, Class, Example'', ''Time'', ''Time'']'	'[''All, Any, Each, Every [Totality]'', ''All, Any, Each, Every [Totality]'', ''Completely, Enough [Completive Degree]'', ''Whole'', ''Class, Kind'', ''A Point of Time without Reference to Other Points of Time: Time, Occasion, Ever, Often'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''the totality of any object, mass, collective, or extension{N:001}'', ''any one of a totality'', ''a degree of totality or completeness{N:002}'', ''(with the definite article) pertaining to being entire or whole, with focus on the totality'', ''a totality of kinds or sorts'', ''(an idiom, literally: through all) a number of related points of time, occurring at regular intervals'', ''(an idiom, literally: through all) duration of time, either continuous or episodic, but without limits'']'
πάσσω	'[''Foods and Condiments'']'	'[''Disperse, Scatter'']'	to scatter small particles, especially for flavoring
πάστος	'[''Artifacts'']'	'[''Parts and Areas of Buildings'']'	a room designated for wedding consummation
πατασσω	'[''Physical Impact'', ''Violence, Harm, Destroy, Kill'']'	'[''Hit, Strike'', ''Kill'']'	'[''to strike a heavy blow, implying severe damage'', ''to slay by means of a mortal blow or disease'']'
πατηρ	'[''Kinship Terms'', ''Kinship Terms'', ''Kinship Terms'', ''Supernatural Beings and Powers'', ''Status'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Nature, Class, Example'', ''Guide, Discipline, Follow'', ''Funerals and Burial'']'	'[''Kinship Relations Involving Successive Generations'', ''Kinship Relations Involving Successive Generations'', ''Kinship Relations Involving Successive Generations'', ''Supernatural Beings'', ''High Status or Rank [including persons of high status]'', ''Socio-Religious'', ''Archetype, Corresponding Type [Antitype]'', ''Guide, Lead'']'	'[''one’s biological or adoptive male parent{N:001}'', ''biological or legal parents'', ''a person several preceding generations removed from the reference person'', ''(title for God, literally: father) one who combines aspects of supernatural authority and care for his people{N:002}'', ''a title for a person of high rank'', ''a member of a well-defined socio-religious entity and representing an older age group than the so-called reference person'', ''(figurative extension of meaning of {L:πατήρ<SDBG:πατήρ:000000>}[a] ‘father,’ {D:10.14}) an archetype anticipating a later reality and suggesting a derivative relationship{N:004}'', ''(a figurative extension of meaning of {L:πατήρ<SDBG:πατήρ:000000>}[a] ‘father,’ {D:10.14}) one who is responsible for having guided another into faith or into a particular pattern of behavior'', ''(a Semitic idiom, literally: to place with his fathers) to carry out a burial procedure'']'
πατρια	'[''Kinship Terms'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Kinship Relations Involving Successive Generations'', ''Socio-Political'']'	'[''persons of successive generations who are related by birth{N:001}'', ''a relatively large unit of people who constitute a sociopolitical group, sharing a presumed biological descent (in many contexts πατριά[b] and {L:φυλή<SDBG:φυλή:000001>}[b] are very similar in meaning to {L:ἔθνος<SDBG:ἔθνος:000000>} and {L:λαός<SDBG:λαός:000000>}[a], {D:11.55})'']'
παυω	'[''Aspect'', ''Aspect'']'	'[''Cease, Stop'', ''Cease, Stop'']'	'[''to cause something or someone to cease from some activity or state{N:001}'', ''to cease from an activity in which one is engaged'']'
πάχνη	'[''Physical Events and States'']'	'[''Weather'', ''Water'']'	a covering of ice crystals formed by cold
πάχος	'[''Physiological Processes and States'']'	'[''High, Low, Deep'', ''Large, Small'']'	the dimension from surface to opposite surface; fatness
παχύς	'[''Physiological Processes and States'']'	'[''Large, Small'']'	having broadness or fullness in dimension
πεδάω	'[''Control, Rule'']'	'[''Compel, Force'']'	to restrain or fetter, especially with chains
πεδη	'[''Artifacts'']'	'[''Instruments Used in Binding and Fastening'']'	'[''metal chains with special links prepared to go around the ankles; used to restrict the movement of a prisoner'']'
πεδίον	'[''Names of Persons and Places'']'	'[''The Earth''s Surface'']'	a wide, flat open area of land
πειθω	'[''Communication'']'	'[''Urge, Persuade'']'	'[''(derivative of {L:πείθω<SDBG:πείθω:000000>}[a] ‘to persuade,’ {D:33.301}) the capacity to persuade or convince'']'
πειναω	'[''Physiological Processes and States'', ''Attitudes and Emotions'']'	'[''Eat, Drink'', ''Desire Strongly'']'	'[''to be in a state of hunger, without any implications of particular contributing circumstances'', ''(figurative extension of meaning of {L:πεινάω<SDBG:πεινάω:000000>} ‘to hunger,’ {D:23.29}) to have a strong desire to attain some goal, with the implication of an existing lack'']'
πειραζω	'[''Learn'', ''Learn'', ''Moral and Ethical Qualities and Related Behavior'', ''Aspect'', ''Supernatural Beings and Powers'']'	'[''Try To Learn'', ''Learn Something Against Someone'', ''Sin, Wrongdoing, Guilt'', ''Try, Attempt'', ''Supernatural Beings'']'	'[''to try to learn the nature or character of someone or something by submitting such to thorough and extensive testing'', ''to obtain information to be used against a person by trying to cause someone to make a mistake'', ''to endeavor or attempt to cause someone to sin'', ''to attempt to do something, with the implication of not succeeding'', ''(a title for the Devil, literally: one who tempts) one who tempts or tries people with the intent of making them sin'']'
πειρασμος	'[''Learn'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Try To Learn'', ''Sin, Wrongdoing, Guilt'']'	'[''act of trying to learn the nature or character of someone or something by submitting such to thorough and extensive testing'', ''act of endeavoring or attempting to cause someone to sin'']'
πειρατήριον	'[''Behavior and Related States'']'	'[''Try, Attempt'']'	a place or situation where one is tested or examined
πελεκάν	'[''Animals'']'	'[''Birds'']'	a large water bird with a long beak and throat pouch
πέλεκυς	'[''Artifacts'']'	'[''Instruments Used in Agriculture and Husbandry'']'	a heavy bladed tool used for chopping
πενης	'[''Possess, Transfer, Exchange'']'	'[''Be Poor, Be Needy, Poverty'']'	'[''a person who is poor and must live sparingly, but probably not as destitute as a person spoken of as {L:πτωχός<SDBG:πτωχός:000000>}[a] ({D:57.53})'']'
πενθεω	'[''Attitudes and Emotions'']'	'[''Laugh, Cry, Groan'']'	'[''to experience sadness or grief as the result of depressing circumstances or the condition of persons'']'
περας	'[''Space'', ''Sequence'']'	'[''Limits, Boundaries of Space'']'	'[''limit as the distant end of a space'', ''the end point of a process, implying a conclusion of a matter'']'
περι	'[''Spacial Positions'', ''Case'', ''Time'', ''Relations'', ''Case'', ''Relations'', ''Relations'']'	'[''Around, About, Outside'', ''Content'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Cause and/or Reason'', ''Benefaction'', ''Association'', ''Specification'']'	'[''a position or a series of positions around an area, but not necessarily involving complete encirclement'', ''(with the genitive) a marker of general content, whether of a discourse or mental activity{N:001}'', ''a marker of a point of time which is approximately simultaneous to another point of time'', ''a marker of cause or reason as an implied content of speaking'', ''(with the genitive) a marker of events which are indirectly involved in a beneficial activity'', ''a marker of association, involving accompaniment'', ''a marker of a relation, usually involving content or topic'']'
περιαιρεω	'[''Linear Movement'', ''Maritime Activities'', ''Be, Become, Exist, Happen'', ''Aspect'']'	'[''Carry, Bear'', ''State'', ''Cease, Stop'']'	'[''to remove something which is around something else'', ''(a technical, nautical term) to raise the anchor in preparation for departing'', ''to cause a state to cease{N:001}'', ''to stop doing something, with the implication of complete cessation'']'
περιαργυρόω	'[''Possess, Transfer, Exchange'']'	'[''Adornments'', ''Give'', ''Do, Perform'']'	to decorate or overlay something with silver
περιβαλλω	'[''Activities Involving Clothing and Adorning'', ''Activities Involving Clothing and Adorning'']'	'[''Cloth, Leather, and Objects Made of Such Materials'']'	'[''to put on clothes, implying the clothing being completely around'', ''to put on clothing to adorn the outward form of something{N:001}'']'
περιβολαιον	'[''Artifacts'', ''Artifacts'']'	'[''Cloth, Leather, and Objects Made of Such Materials'', ''Cloth, Leather, and Objects Made of Such Materials'']'	'[''clothing as a covering{N:001}'', ''any type of outer garment{N:002}'']'
περιερχομαι	'[''Linear Movement'', ''Linear Movement'']'	'[''Travel, Journey'', ''Pass, Cross Over, Go Through, Go Around'']'	'[''to move about from place to place, with significant changes in direction'', ''to move or go around some object or point of reference'']'
περιεχω	'[''Case'', ''Case'']'	'[''Content'', ''Experiencer'']'	'[''a marker of designations of content'', ''(a figurative extension of meaning of περιέχω ‘to surround,’ not occurring in the NT) to experience an emotion or mood in an overwhelming manner'']'
περιζωννυμι	'[''Activities Involving Clothing and Adorning'', ''Ready, Prepared'']'	'[''Cloth, Leather, and Objects Made of Such Materials'']'	'[''to have a belt or sash around oneself{N:001}'', ''(an idiom, literally: to gird up the loins) to cause oneself to be in a state of readiness'']'
περικοσμέω	'[''Artifacts'']'	'[''Adornments'', ''Give'', ''Do, Perform'']'	to adorn or embellish extensively
περικυκλοω	'[''Linear Movement'']'	'[''Go Around, Surround'']'	'[''to move in such a way as to encircle an object{N:001}'']'
περικυκλόω	'[''Spacial Positions'']'	'[''Go Around, Surround'']'	to encompass or go around on all sides
περιλαμβάνω	'[''Power, Force'']'	'[''Grasp, Hold'']'	to grasp or encompass something or someone
περίλοιπος	'[''Time'', ''Time'']'	'[''Remnant'', ''Part'']'	left behind, remaining from the whole
περιλυπος	'[''Attitudes and Emotions'']'	'[''Sorrow, Regret'']'	'[''pertaining to being very sad or deeply distressed'']'
περιουσιασμός	'[''Possess, Transfer, Exchange'']'	'[''Have, Possess, Property, Owner'']'	the act of possessing something as a treasured or unique belonging
περιοχη	'[''Communication'']'	'[''Word, Passage'']'	'[''a particular portion or unit of discourse'']'
περιπατεω	'[''Linear Movement'', ''Behavior and Related States'', ''Behavior and Related States'']'	'[''Walk, Step'', ''Behavior, Conduct'', ''Imitate Behavior'']'	'[''to walk along or around'', ''to live or behave in a customary manner, with possible focus upon continuity of action'', ''(an idiom, literally: to walk in the tracks) to behave in the same manner as someone else'']'
περιπλέκω	'[''Physical Events and States'']'	'[''Compel, Force'']'	to twist together or interweave tightly
περιποιεω	'[''Possess, Transfer, Exchange'', ''Danger, Risk, Safe, Save'']'	'[''Take, Obtain, Gain, Lose'', ''Cause To Be Safe, Free from Danger'']'	'[''to acquire possession of something, with the probable component of considerable effort'', ''(an idiom, literally: to do something with regard to one’s life) to save or preserve one’s own life'']'
περισσως	'[''Degree'']'	'[''More Than, Less Than [Comparative Degree]'']'	'[''a degree which is considerably in excess of some point on an implied or explicit scale of extent'']'
περιστερα	'[''Animals'']'	'[''Birds'']'	'[''Asiatic Rock dove: bird with a blue-gray color with a pinkish sheen to the neck feathers and a black tip on its tail; lives in large colonies and eats mainly seeds; courts, mates, and has nests several times a year; nests on rock ledges; Columba via; used as food and for sacrifices; regarded as swift, docile, and innocent'']'
πετάννυμι	'[''Linear Movement'', ''Linear Movement'']'	'[''Extension Along a Path'']'	to stretch out or spread broadly
πετεινος	'[''Animals'', ''Animals'']'	'[''Birds'', ''Birds'']'	'[''any kind of bird, wild or domestic'', ''(an idiom, literally: birds of the sky) wild birds in contrast with domesticated birds such as chickens'']'
πετομαι	'[''Linear Movement'']'	'[''Fly'']'	'[''movement of an object through the air by means of wings'']'
πετρα	'[''Natural Substances'']'	'[''Earth, Mud, Sand, Rock'']'	'[''bedrock (possibly covered with a thin layer of soil), rocky crags, or mountain ledges, in contrast with separate pieces of rock normally referred to as {L:λίθος<SDBG:λίθος:000000>}[a] (see {D:2.23}){N:001}'']'
πετρος	'[''Names of Persons and Places'']'	'[''Persons'']'	'[''the Greek name of the leader of the twelve apostles, who was also called Cephas and whose name was originally Simon'']'
πηγη	'[''Geographical Objects and Features'', ''Constructions'', ''Physiological Processes and States'']'	'[''Bodies of Water'', ''Constructions for Holding Water'', ''Sickness, Disease, Weakness'']'	'[''a source of water flowing onto the surface or into a pool somewhat below ground level'', ''deep constructions, often walled with stone, at the bottom of which was a pool of water'', ''(a set phrase, literally: fountain of blood) the loss of blood through menstrual bleeding{N:001}'']'
πηλος	'[''Natural Substances'']'	'[''Earth, Mud, Sand, Rock'']'	'[''moistened earth of a clay consistency'']'
πιάινω	'[''Physical Events and States'']'	'[''Full, Empty'']'	to become fat or rich in substance
πικρια	'[''Features of Objects'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Sweet, Bitter, Tasteless'', ''Hate, Hateful'']'	'[''with a bitter taste (occurring only in the idiom χολὴ πικρίας)'', ''(a figurative extension of meaning of {L:πικρία<SDBG:πικρία:000000>}[a] ‘bitter taste,’ {D:79.40}) a state of sharp, intense resentment or hate'']'
πικρος	'[''Features of Objects'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Sweet, Bitter, Tasteless'', ''Resentful, Hold a Grudge Against'']'	'[''pertaining to being bitter or pungent'', ''(a figurative extension of meaning of {L:πικρός<SDBG:πικρός:000000>}[a] ‘bitter,’ {D:79.41}) pertaining to feeling resentful'']'
πινω	'[''Physiological Processes and States'', ''Physical Events and States'', ''Sensory Events and States'']'	'[''Eat, Drink'', ''Events Involving Liquids and Dry Masses'', ''Pain, Suffering'']'	'[''to consume liquids, particularly water and wine'', ''(a figurative extension of meaning of {L:πίνω<SDBG:πίνω:000000>}[a] ‘to drink,’ {D:23.34}) the action of a material which soaks up a liquid'', ''(an idiom, literally: to drink a cup) to undergo a trying, difficult experience'']'
πιοτης	'[''Plants'', ''Value'']'	'[''Non-Fruit Parts of Plants'', ''Valuable, Lacking in Value'']'	'[''a nutritionally rich, fatty quality'', ''(a figurative extension of meaning of {L:πιότης<SDBG:πιότης:000000>}[a] ‘fatness,’ {D:3.59}) a rich, valuable substance'']'
πιπρασκω	'[''Possess, Transfer, Exchange'']'	'[''Sell, Buy, Price'']'	'[''to dispose of property or provide services in exchange for money or other valuable considerations'']'
πιπτω	'[''Linear Movement'', ''Linear Movement'', ''Stances and Events Related to Stances'', ''Violence, Harm, Destroy, Kill'', ''Physiological Processes and States'', ''Aspect'', ''Be, Become, Exist, Happen'', ''Be, Become, Exist, Happen'', ''Be, Become, Exist, Happen'', ''Adequate, Qualified'', ''Case'', ''Think'', ''Sensory Events and States'', ''Status'', ''Courts and Legal Procedures'']'	'[''Fall'', ''Fall'', ''Prostrate as an Act of Reverence or Supplication'', ''Destroy'', ''Live, Die'', ''Cease, Stop'', ''Happen'', ''Change of State'', ''Exist'', ''Experiencer'', ''To Choose, To Select, To Prefer'', ''Pain, Suffering'', ''High Status or Rank [including persons of high status]'', ''Judge, Condemn, Acquit'']'	'[''to fall from one level to another{N:001}'', ''to fall from a standing or upright position down to the ground or surface{N:001}'', ''to prostrate oneself before someone, implying supplication{N:002}'', ''to suffer or experience destruction'', ''(a figurative extension of meaning of {L:πίπτω<SDBG:πίπτω:000000>}[a] ‘to fall,’ {D:15.118}) to fall down, as a euphemistic expression for a violent death'', ''(a figurative extension of meaning of {L:πίπτω<SDBG:πίπτω:000000>}[a] ‘to fall,’ {D:15.118}) to cease, with the possible implication of failure'', ''to happen suddenly to, with the connotation of something bad and adverse'', ''to change for the worse, with emphasis upon extent and suddenness'', ''to cease to exist in a particular post or position'', ''(figurative extension of meaning of {L:πίπτω<SDBG:πίπτω:000000>}[a] ‘to fall,’ {D:15.118}) to become inadequate for some function'', ''to experience somewhat suddenly that which is difficult or bad'', ''(an idiom, literally: the lot falls upon someone) the process of choosing, with the probable implication of discerning God’s will in this manner'', ''(an idiom, literally: to fall upon someone) to cause someone suffering or harm'', ''(an idiom, literally: to his own master he stands or falls, probably a familiar adage) whether one maintains one’s status or relationship to a master depends on the masters judgment or evaluation'', ''(an idiom, literally: to fall under judgment) to be condemned for acting contrary to laws and regulations'']'
πιστευω	'[''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Help, Care For'']'	'[''Believe To Be True'', ''Trust, Rely'', ''Be a Believer, Christian Faith'', ''Entrust To the Care Of'']'	'[''to believe something to be true and, hence, worthy of being trusted{N:001}'', ''to believe to the extent of complete trust and reliance'', ''to believe in the good news about Jesus Christ and to become a follower'', ''to entrust something to the care of someone'']'
πιστις	'[''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Communication'']'	'[''Believe To Be True'', ''Trust, Rely'', ''Trust, Rely'', ''Be a Believer, Christian Faith'', ''Be a Believer, Christian Faith'', ''Promise'']'	'[''that which is completely believable'', ''to believe to the extent of complete trust and reliance'', ''the state of being someone in whom complete confidence can be placed'', ''to believe in the good news about Jesus Christ and to become a follower'', ''(semantic derivative of {L:πίστις<SDBG:πίστις:000003>}[d] ‘to be a believer, Christian faith,’ {D:31.102}) the content of what Christians believe'', ''a promise or pledge of faithfulness and loyalty'']'
πιστος	'[''Hold a View, Believe, Trust'', ''Hold a View, Believe, Trust'', ''Mode'', ''Hold a View, Believe, Trust'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Trust, Rely'', ''Trust, Rely'', ''Certain, Uncertain'', ''Be a Believer, Christian Faith'', ''Socio-Religious'']'	'[''(derivative of {L:πιστεύω<SDBG:πιστεύω:000001>}[b] ‘to trust,’ {D:31.85}) pertaining to trusting'', ''(derivative of {L:πιστεύω<SDBG:πιστεύω:000001>}[b] ‘to trust,’ {D:31.85}) pertaining to being trusted'', ''pertaining to being sure, with the implication of being fully trustworthy'', ''(derivative of {L:πιστεύω<SDBG:πιστεύω:000002>}[c] ‘to be a believer,’ {D:31.102}) one (female) who believes in Jesus Christ{N:001}'', ''one (female) who is included among the faithful followers of Christ'']'
πιστοω	'[''Hold a View, Believe, Trust'']'	'[''Believe To Be True'']'	'[''to come to believe something to be true'']'
πίων	'[''Physiological Processes and States'']'	'[''Full, Empty'']'	full, fertile, or fat in condition
πλαναω	'[''Hold a View, Believe, Trust'', ''Linear Movement'', ''Hold a View, Believe, Trust'']'	'[''Hold a Wrong View, Be Mistaken'', ''Travel, Journey'', ''Change an Opinion Concerning Truth'']'	'[''(figurative extension of meaning of πλανάω ‘to cause to wander off the path,’ not occurring in the NT) to cause someone to hold a wrong view and thus be mistaken{N:001}'', ''to move about, without definite destination or particular purpose'', ''to no longer believe what is true, but to start believing what is false{N:002}'']'
πλασμα	'[''Nature, Class, Example'']'	'[''Nature, Character'']'	'[''(derivative of {L:πλάσσω<SDBG:πλάσσω:000001>}[b] ‘to form,’ {D:58.11}) that which is formed or molded'']'
πλασσω	'[''Perform, Do'', ''Nature, Class, Example'']'	'[''Make, Create'', ''Nature, Character'']'	'[''to fashion or form an object'', ''to give a particular form to something'']'
πλατεία	'[''Names of Persons and Places'']'	'[''Thoroughfares: Roads, Streets, Paths, etc.'']'	a wide open space in a city, usually a public street
